iter	Passed	Remaining
0	0	373
1	0	340
2	0	314
3	1	311
4	1	311
5	1	312
6	2	312
7	2	309
8	2	304
9	3	300
10	3	298
11	3	295
12	3	293
13	4	293
14	4	293
15	4	292
16	5	290
17	5	291
18	5	291
19	5	289
20	6	288
21	6	288
22	6	286
23	7	284
24	7	283
25	7	283
26	7	283
27	8	283
28	8	282
29	8	282
30	9	281
31	9	280
32	9	280
33	9	279
34	10	277
35	10	277
36	10	276
37	10	276
38	11	276
39	11	275
40	11	274
41	12	274
42	12	273
43	12	273
44	12	272
45	13	271
46	13	271
47	13	270
48	13	270
49	14	270
50	14	269
51	14	269
52	15	268
53	15	268
54	15	268
55	15	267
56	16	267
57	16	267
58	16	266
59	16	266
60	17	265
61	17	265
62	17	264
63	18	264
64	18	263
65	18	263
66	18	262
67	19	262
68	19	261
69	19	261
70	19	261
71	20	260
72	20	260
73	20	260
74	21	259
75	21	259
76	21	259
77	21	258
78	22	258
79	22	257
80	22	257
81	22	256
82	23	254
83	23	254
84	23	254
85	23	253
86	24	253
87	24	252
88	24	252
89	24	252
90	25	251
91	25	251
92	25	251
93	26	251
94	26	250
95	26	250
96	26	249
97	27	249
98	27	248
99	27	248
100	27	248
101	28	247
102	28	247
103	28	247
104	28	246
105	29	246
106	29	246
107	29	245
108	29	245
109	30	244
110	30	244
111	30	244
112	31	243
113	31	243
114	31	242
115	31	242
116	32	241
117	32	241
118	32	241
119	32	240
120	33	240
121	33	239
122	33	239
123	33	239
124	34	238
125	34	238
126	34	237
127	34	237
128	35	237
129	35	237
130	35	236
131	35	236
132	36	235
133	36	235
134	36	235
135	37	235
136	37	234
137	37	234
138	37	234
139	38	234
140	38	233
141	38	232
142	38	232
143	39	232
144	39	232
145	39	231
146	39	231
147	40	231
148	40	230
149	40	230
150	40	230
151	41	229
152	41	229
153	41	229
154	42	229
155	42	228
156	42	228
157	42	228
158	43	228
159	43	228
160	43	227
161	43	227
162	44	226
163	44	226
164	44	226
165	45	226
166	45	226
167	45	226
168	45	225
169	46	225
170	46	225
171	46	224
172	46	224
173	47	224
174	47	224
175	47	223
176	48	223
177	48	223
178	48	222
179	48	222
180	49	222
181	49	222
182	49	221
183	49	221
184	50	221
185	50	221
186	50	221
187	51	221
188	51	221
189	52	221
190	52	221
191	52	221
192	52	221
193	53	221
194	53	221
195	53	221
196	54	220
197	54	220
198	54	220
199	55	220
200	55	220
201	55	220
202	56	220
203	56	219
204	56	219
205	56	219
206	57	218
207	57	218
208	57	218
209	58	218
210	58	218
211	58	217
212	58	217
213	59	217
214	59	216
215	59	216
216	59	216
217	60	215
218	60	215
219	60	215
220	61	215
221	61	214
222	61	214
223	61	214
224	62	213
225	62	213
226	62	213
227	63	213
228	63	213
229	63	212
230	63	212
231	64	212
232	64	212
233	64	212
234	65	211
235	65	211
236	65	211
237	65	211
238	66	210
239	66	210
240	66	210
241	67	210
242	67	209
243	67	209
244	67	209
245	68	209
246	68	209
247	68	208
248	69	208
249	69	208
250	69	208
251	70	207
252	70	207
253	70	207
254	70	207
255	71	206
256	71	206
257	71	206
258	72	206
259	72	206
260	72	205
261	72	205
262	73	205
263	73	205
264	74	205
265	74	205
266	74	204
267	74	204
268	75	204
269	75	204
270	75	203
271	76	203
272	76	203
273	76	203
274	76	202
275	77	202
276	77	202
277	77	202
278	78	201
279	78	201
280	78	201
281	79	201
282	79	200
283	79	200
284	79	200
285	80	199
286	80	199
287	80	199
288	80	199
289	81	198
290	81	198
291	81	198
292	82	197
293	82	197
294	82	197
295	82	197
296	83	196
297	83	196
298	83	196
299	83	195
300	84	195
301	84	195
302	84	194
303	85	194
304	85	194
305	85	194
306	85	193
307	86	193
308	86	193
309	86	192
310	86	192
311	87	192
312	87	192
313	87	192
314	88	191
315	88	191
316	88	191
317	89	191
318	89	190
319	89	190
320	89	190
321	90	190
322	90	189
323	90	189
324	91	189
325	91	188
326	91	188
327	91	188
328	92	187
329	92	187
330	92	187
331	92	187
332	93	186
333	93	186
334	93	186
335	94	185
336	94	185
337	94	185
338	94	184
339	95	184
340	95	184
341	95	184
342	95	183
343	96	183
344	96	183
345	96	182
346	96	182
347	97	182
348	97	181
349	97	181
350	98	181
351	98	181
352	98	180
353	98	180
354	99	180
355	99	179
356	99	179
357	100	179
358	100	179
359	100	178
360	100	178
361	101	178
362	101	177
363	101	177
364	101	177
365	102	177
366	102	176
367	102	176
368	103	176
369	103	176
370	103	175
371	103	175
372	104	175
373	104	174
374	104	174
375	104	174
376	105	173
377	105	173
378	105	173
379	106	173
380	106	172
381	106	172
382	106	172
383	107	172
384	107	172
385	107	171
386	108	171
387	108	171
388	108	170
389	109	170
390	109	170
391	109	169
392	109	169
393	110	169
394	110	168
395	110	168
396	110	168
397	111	168
398	111	167
399	111	167
400	111	167
401	112	166
402	112	166
403	112	166
404	112	165
405	113	165
406	113	165
407	113	165
408	114	164
409	114	164
410	114	164
411	114	164
412	115	163
413	115	163
414	115	163
415	115	162
416	116	162
417	116	162
418	116	161
419	117	161
420	117	161
421	117	160
422	117	160
423	118	160
424	118	160
425	118	159
426	118	159
427	119	159
428	119	158
429	119	158
430	119	158
431	120	157
432	120	157
433	120	157
434	120	157
435	121	156
436	121	156
437	121	156
438	121	155
439	122	155
440	122	155
441	122	155
442	123	154
443	123	154
444	123	154
445	124	154
446	124	154
447	124	153
448	125	153
449	125	153
450	125	153
451	125	152
452	126	152
453	126	152
454	126	151
455	127	151
456	127	151
457	127	151
458	127	150
459	128	150
460	128	150
461	128	150
462	129	149
463	129	149
464	129	149
465	129	148
466	130	148
467	130	148
468	130	148
469	131	147
470	131	147
471	131	147
472	131	146
473	132	146
474	132	146
475	132	146
476	133	145
477	133	145
478	133	145
479	133	145
480	134	144
481	134	144
482	134	144
483	135	143
484	135	143
485	135	143
486	135	143
487	136	142
488	136	142
489	136	142
490	137	142
491	137	141
492	137	141
493	138	141
494	138	141
495	138	140
496	138	140
497	139	140
498	139	139
499	139	139
500	139	139
501	140	138
502	140	138
503	140	138
504	140	138
505	141	137
506	141	137
507	141	137
508	141	136
509	142	136
510	142	136
511	142	136
512	143	135
513	143	135
514	143	135
515	143	134
516	144	134
517	144	134
518	144	134
519	144	133
520	145	133
521	145	133
522	145	132
523	145	132
524	146	132
525	146	132
526	146	131
527	147	131
528	147	131
529	147	131
530	148	130
531	148	130
532	148	130
533	148	129
534	149	129
535	149	129
536	149	129
537	149	128
538	150	128
539	150	128
540	150	127
541	151	127
542	151	127
543	151	127
544	151	126
545	152	126
546	152	126
547	152	125
548	152	125
549	153	125
550	153	125
551	153	124
552	154	124
553	154	124
554	154	123
555	154	123
556	155	123
557	155	123
558	155	122
559	155	122
560	156	122
561	156	121
562	156	121
563	157	121
564	157	121
565	157	120
566	157	120
567	158	120
568	158	119
569	158	119
570	158	119
571	159	119
572	159	118
573	159	118
574	160	118
575	160	118
576	160	117
577	160	117
578	161	117
579	161	116
580	161	116
581	162	116
582	162	116
583	162	115
584	162	115
585	163	115
586	163	114
587	163	114
588	163	114
589	164	114
590	164	113
591	164	113
592	165	113
593	165	113
594	165	112
595	165	112
596	166	112
597	166	111
598	166	111
599	166	111
600	167	111
601	167	110
602	167	110
603	168	110
604	168	109
605	168	109
606	168	109
607	169	108
608	169	108
609	169	108
610	169	108
611	170	107
612	170	107
613	170	107
614	170	106
615	171	106
616	171	106
617	171	106
618	172	105
619	172	105
620	172	105
621	172	105
622	173	104
623	173	104
624	173	104
625	173	103
626	174	103
627	174	103
628	174	103
629	175	102
630	175	102
631	175	102
632	175	101
633	176	101
634	176	101
635	176	101
636	176	100
637	177	100
638	177	100
639	177	99
